exam_year,exam_part,question_no,question_id,primary_week,primary_week_topic,secondary_weeks,secondary_week_topics,question_summary
2023,A,1,2023-A-1,2,"Supervised Learning (k-NN, Decision Trees)",,,Which of the following best describes supervised learning? (a) A type of machine learning where the algorithm learns to optimize a reward function through trial and error. (b) A type of machine learning where the algorit
2023,A,2,2023-A-2,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",,,"Which of the following is NOT a commonly used activation function in neural networks? (a) Logistic: h(z) = 1+e1−z (b) ReLU: h(z) = max(0, z) (c) Linear: h(z) = z −2z (d) sinh: h(z) = 1−e 2e−x"
2023,A,3,2023-A-3,5,"Performance (Generalisation, Evaluation, Model Selection)",,,What is the purpose of a hold-out data set in machine learning? (a) To train the model on new data that it hasn’t seen before. (b) To estimate the accuracy of the model on data that it has not been trained on. (c) To fin
2023,A,4,2023-A-4,2,"Supervised Learning (k-NN, Decision Trees)",,,What does the “k” in the kNN algorithm represent? (a) The number of training examples used for each prediction. (b) The number of features in the dataset. (c) The number of classes in the dataset. (d) The regularisation 
2023,A,5,2023-A-5,2,"Supervised Learning (k-NN, Decision Trees)",,,Which of the following metrics is NOT suitable for evaluating the quality of a split in a decision tree for classification? (a) Entropy. (b) Gini index. (c) Misclassification rate. (d) Sensitivity.
2023,A,6,2023-A-6,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",,,Which of the following correctly describes stochastic gradient descent (SGD)? (a) SGD computes the gradient of the objective function over the entire training set. (b) SGD updates the model parameters using the gradient 
2023,A,7,2023-A-7,9,"Ensemble Methods (Bagging, Boosting, Random Forests)",,,"Regarding bagging, which of the following statements is incorrect? (a) Bagging allows multiple models to be trained in parallel. (b) Bagging uses bootstrap sampling to create multiple training sets. (c) Bagging tends to "
2023,A,8,2023-A-8,11,Kernel Methods (SVMs),,,"Regarding the kernel function in support vector machines, which of the following statements is correct? (a) The kernel function provides a measure of the similarity between any pair of data points. (b) The kernel functio"
2023,A,9,2023-A-9,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,,,"What is the main difference between the k-means clustering algorithm and Gaussian mixture models (trained using the EM algorithm)? (a) k-means clustering can handle data with missing values, while Gaussian mixture models"
2023,A,10,2023-A-10,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,,,"Which of the following statements about Principal Component Analysis (PCA) is incorrect? (a) Given a dataset with p features, PCA can reduce the dimensionality of the data to a minimum of p 2 features. (b) PCA performs d"
2023,B,1,2023-B-1,2,"Supervised Learning (k-NN, Decision Trees)",4,Basic Parametric Models and Statistical Learning,"Figure 1 shows a set of training data for a binary classification problem: Figure 1 (a) Consider using a decision stump (i.e. a decision tree with depth = 1) to classify this data. (i) From Figure 1, specify the trained "
2023,B,2,2023-B-2,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",5,"Performance (Generalisation, Evaluation, Model Selection)","Figure 2 is taken from a textbook by Chris Bishop: Figure 2 Note that a small amount of noise (jitter) has been applied to the horizontal positions of each data point, to make it easier to see that there are 30 results f"
2023,B,3,2023-B-3,5,"Performance (Generalisation, Evaluation, Model Selection)",,,"Figure 3 is taken from the course textbook: Figure 3 (a) Explain how Figure 3 illustrates a fundamental tradeoff in machine learning. (5 marks) (question continues over) (b) If more data becomes available for training, w"
2023,B,4,2023-B-4,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",,,"In the course textbook, the following Algorithm is presented: Figure 4 (a) In this pseudocode, what does θ(t) represent? (2 marks) (b) In this pseudocode, what does n represent? (2 marks) (c) In this pseudocode, what doe"
2023,B,5,2023-B-5,7,"Neural Networks and Deep Learning (MLP, Backpropagation)",,,"A fully-connected feedforward neural network can be described mathematically as: q(1) = h W(1) x + b(1) ,  (1) .. . (2) q(L−1) = h W(L−1) q(L−2) + b(L−1) ,  (3) (L) (L−1) (L) z=W q +b , (4)  z  e1 1  ez2  g = softm"
2023,B,6,2023-B-6,8,Neural Networks and Deep Learning (CNNs),,,"(a) Given the following matrices:   1 0 0 0 1 0 1 0 1 0     0 1 0 X= 0 1 0 0 , K =  0 1 0 1 0 1 0 1 0 0 0 1 where X is the 5 × 5 input data (e.g. pixel values) and K is a 2 × 2 kernel, perform a convolution"
2023,B,7,2023-B-7,12,Bayesian Approach and Gaussian Processes,,,"Figure 5 is from the course textbook and illustrates some properties of a Gaussian Process model for a 1D regression problem. The Gaussian Process uses a squared exponential covariance (kernel) function, with two differe"
2023,B,8,2023-B-8,3,Unsupervised and Semi-supervised Learning; Intro to Generative Models,13,"Generative Models (revisited: Autoencoders, GANs)",Figure 6 is from the course textbook and shows a 2D Gaussian mixture model that has been trained on the set of data points shown: Figure 6 A Gaussian mixture model is an example of a simple generative machine learning mo
2024,A,1,2024-A-1,1,Introduction and Background Review,,,Which of the following is an incorrect statement about machine learning? (a) Machine learning uses a set of data to determine suitable parameters for a mathematical model. (b) Supervised learning means that the machine l
2024,A,2,2024-A-2,2,"Supervised Learning (k-NN, Decision Trees)",,,"In the k-nearest neighbours method (k-NN), k refers to: (a) The maximum number of training iterations. (b) The number of data points that are used to determine any prediction made by the model. (c) The learning rate para"
2024,A,3,2024-A-3,4,Basic Parametric Models and Statistical Learning,,,"Comparing linear regression and logistic regression, which of the following statements is incorrect? (a) For logistic regression, training can be formulated as maximizing a likelihood function, whereas this is not possib"
2024,A,4,2024-A-4,5,"Performance (Generalisation, Evaluation, Model Selection)",,,"You are given 1000 data points to build a classifier. You shuffle the points randomly and then decide to put 10% of the data aside as a (final) test set and 20% of the data aside as a “validation” set, which you use to p"
2024,A,5,2024-A-5,6,"Learning Parametric Models (Optimisation, Loss, Regularisation)",,,"Consider training a machine learning model using gradient descent. If the value of the learning rate parameter is not suitable, possible consequences are: (a) The cost function value decreases very slowly over iterations"
